давление 1E+5 Па.,   время 0 c.
давление 1,119E-1 Па.,   время 1471 c.
давление 1,199E-1 Па.,   время 1472 c.
давление 1,278E-1 Па.,   время 1473 c.
давление 1,356E-1 Па.,   время 1474 c.
давление 1,434E-1 Па.,   время 1475 c.
давление 1,511E-1 Па.,   время 1476 c.
давление 1,587E-1 Па.,   время 1477 c.
давление 1,663E-1 Па.,   время 1478 c.
давление 1,737E-1 Па.,   время 1479 c.
давление 1,812E-1 Па.,   время 1480 c.
давление 1,885E-1 Па.,   время 1481 c.
давление 1,958E-1 Па.,   время 1482 c.
давление 2,03E-1 Па.,   время 1483 c.
давление 2,101E-1 Па.,   время 1484 c.
давление 2,171E-1 Па.,   время 1485 c.
давление 2,241E-1 Па.,   время 1486 c.
давление 2,31E-1 Па.,   время 1487 c.
давление 2,379E-1 Па.,   время 1488 c.
давление 2,447E-1 Па.,   время 1489 c.
давление 2,514E-1 Па.,   время 1490 c.
давление 2,58E-1 Па.,   время 1491 c.
давление 2,646E-1 Па.,   время 1492 c.
давление 2,711E-1 Па.,   время 1493 c.
давление 2,776E-1 Па.,   время 1494 c.
давление 2,84E-1 Па.,   время 1495 c.
давление 2,903E-1 Па.,   время 1496 c.
давление 2,965E-1 Па.,   время 1497 c.
давление 3,027E-1 Па.,   время 1498 c.
давление 3,088E-1 Па.,   время 1499 c.
давление 3,149E-1 Па.,   время 1500 c.
давление 3,209E-1 Па.,   время 1501 c.
давление 3,268E-1 Па.,   время 1502 c.
давление 3,326E-1 Па.,   время 1503 c.
давление 3,384E-1 Па.,   время 1504 c.
давление 3,442E-1 Па.,   время 1505 c.
давление 3,499E-1 Па.,   время 1506 c.
давление 3,555E-1 Па.,   время 1507 c.
давление 3,61E-1 Па.,   время 1508 c.
давление 3,665E-1 Па.,   время 1509 c.
давление 3,719E-1 Па.,   время 1510 c.
давление 3,773E-1 Па.,   время 1511 c.
давление 3,826E-1 Па.,   время 1512 c.
давление 3,879E-1 Па.,   время 1513 c.
давление 3,931E-1 Па.,   время 1514 c.
давление 3,982E-1 Па.,   время 1515 c.
давление 4,033E-1 Па.,   время 1516 c.
давление 4,083E-1 Па.,   время 1517 c.
давление 4,133E-1 Па.,   время 1518 c.
давление 4,182E-1 Па.,   время 1519 c.
давление 4,23E-1 Па.,   время 1520 c.
давление 4,278E-1 Па.,   время 1521 c.
давление 4,326E-1 Па.,   время 1522 c.
давление 4,373E-1 Па.,   время 1523 c.
давление 4,419E-1 Па.,   время 1524 c.
давление 4,465E-1 Па.,   время 1525 c.
давление 4,51E-1 Па.,   время 1526 c.
давление 4,555E-1 Па.,   время 1527 c.
давление 4,599E-1 Па.,   время 1528 c.
давление 4,643E-1 Па.,   время 1529 c.
давление 4,686E-1 Па.,   время 1530 c.
давление 4,729E-1 Па.,   время 1531 c.
давление 4,771E-1 Па.,   время 1532 c.
давление 4,813E-1 Па.,   время 1533 c.
давление 4,854E-1 Па.,   время 1534 c.
давление 4,895E-1 Па.,   время 1535 c.
давление 4,935E-1 Па.,   время 1536 c.
давление 4,975E-1 Па.,   время 1537 c.
давление 5,014E-1 Па.,   время 1538 c.
давление 5,053E-1 Па.,   время 1539 c.
давление 5,091E-1 Па.,   время 1540 c.
давление 5,129E-1 Па.,   время 1541 c.
давление 5,166E-1 Па.,   время 1542 c.
давление 5,203E-1 Па.,   время 1543 c.
давление 5,24E-1 Па.,   время 1544 c.
давление 5,276E-1 Па.,   время 1545 c.
давление 5,311E-1 Па.,   время 1546 c.
давление 5,347E-1 Па.,   время 1547 c.
давление 5,381E-1 Па.,   время 1548 c.
давление 5,416E-1 Па.,   время 1549 c.
давление 5,449E-1 Па.,   время 1550 c.
давление 5,483E-1 Па.,   время 1551 c.
давление 5,516E-1 Па.,   время 1552 c.
давление 5,549E-1 Па.,   время 1553 c.
давление 5,581E-1 Па.,   время 1554 c.
давление 5,613E-1 Па.,   время 1555 c.
давление 5,644E-1 Па.,   время 1556 c.
давление 5,675E-1 Па.,   время 1557 c.
давление 5,706E-1 Па.,   время 1558 c.
давление 5,736E-1 Па.,   время 1559 c.
давление 5,766E-1 Па.,   время 1560 c.
давление 5,795E-1 Па.,   время 1561 c.
давление 5,824E-1 Па.,   время 1562 c.
давление 5,853E-1 Па.,   время 1563 c.
давление 5,881E-1 Па.,   время 1564 c.
давление 5,909E-1 Па.,   время 1565 c.
давление 5,937E-1 Па.,   время 1566 c.
давление 5,964E-1 Па.,   время 1567 c.
давление 5,991E-1 Па.,   время 1568 c.
давление 6,018E-1 Па.,   время 1569 c.
давление 6,044E-1 Па.,   время 1570 c.
давление 6,07E-1 Па.,   время 1571 c.
давление 6,095E-1 Па.,   время 1572 c.
давление 6,12E-1 Па.,   время 1573 c.
давление 6,145E-1 Па.,   время 1574 c.
давление 6,17E-1 Па.,   время 1575 c.
давление 6,194E-1 Па.,   время 1576 c.
давление 6,218E-1 Па.,   время 1577 c.
давление 6,241E-1 Па.,   время 1578 c.
давление 6,265E-1 Па.,   время 1579 c.
давление 6,288E-1 Па.,   время 1580 c.
давление 6,31E-1 Па.,   время 1581 c.
давление 6,333E-1 Па.,   время 1582 c.
давление 6,355E-1 Па.,   время 1583 c.
давление 6,376E-1 Па.,   время 1584 c.
давление 6,398E-1 Па.,   время 1585 c.
давление 6,419E-1 Па.,   время 1586 c.
давление 6,44E-1 Па.,   время 1587 c.
давление 6,46E-1 Па.,   время 1588 c.
давление 6,481E-1 Па.,   время 1589 c.
давление 6,501E-1 Па.,   время 1590 c.
давление 6,52E-1 Па.,   время 1591 c.
давление 6,54E-1 Па.,   время 1592 c.
давление 6,559E-1 Па.,   время 1593 c.
давление 6,578E-1 Па.,   время 1594 c.
давление 6,597E-1 Па.,   время 1595 c.
давление 6,615E-1 Па.,   время 1596 c.
давление 6,633E-1 Па.,   время 1597 c.
давление 6,651E-1 Па.,   время 1598 c.
давление 6,669E-1 Па.,   время 1599 c.
давление 6,686E-1 Па.,   время 1600 c.
давление 6,703E-1 Па.,   время 1601 c.
давление 6,72E-1 Па.,   время 1602 c.
давление 6,737E-1 Па.,   время 1603 c.
давление 6,753E-1 Па.,   время 1604 c.
давление 6,77E-1 Па.,   время 1605 c.
давление 6,786E-1 Па.,   время 1606 c.
давление 6,801E-1 Па.,   время 1607 c.
давление 6,817E-1 Па.,   время 1608 c.
давление 6,832E-1 Па.,   время 1609 c.
давление 6,847E-1 Па.,   время 1610 c.
давление 6,862E-1 Па.,   время 1611 c.
давление 6,877E-1 Па.,   время 1612 c.
давление 6,891E-1 Па.,   время 1613 c.
давление 6,906E-1 Па.,   время 1614 c.
давление 6,92E-1 Па.,   время 1615 c.
давление 6,933E-1 Па.,   время 1616 c.
давление 6,947E-1 Па.,   время 1617 c.
давление 6,96E-1 Па.,   время 1618 c.
давление 6,974E-1 Па.,   время 1619 c.
давление 6,987E-1 Па.,   время 1620 c.
давление 6,999E-1 Па.,   время 1621 c.
давление 7,012E-1 Па.,   время 1622 c.
давление 7,025E-1 Па.,   время 1623 c.
давление 7,037E-1 Па.,   время 1624 c.
давление 7,049E-1 Па.,   время 1625 c.
давление 7,061E-1 Па.,   время 1626 c.
давление 7,073E-1 Па.,   время 1627 c.
давление 7,084E-1 Па.,   время 1628 c.
давление 7,096E-1 Па.,   время 1629 c.
давление 7,107E-1 Па.,   время 1630 c.
давление 7,118E-1 Па.,   время 1631 c.
давление 7,129E-1 Па.,   время 1632 c.
давление 7,139E-1 Па.,   время 1633 c.
давление 7,15E-1 Па.,   время 1634 c.
давление 7,16E-1 Па.,   время 1635 c.
давление 7,17E-1 Па.,   время 1636 c.
давление 7,18E-1 Па.,   время 1637 c.
давление 7,19E-1 Па.,   время 1638 c.
давление 7,2E-1 Па.,   время 1639 c.
давление 7,21E-1 Па.,   время 1640 c.
давление 7,219E-1 Па.,   время 1641 c.
давление 7,228E-1 Па.,   время 1642 c.
давление 7,238E-1 Па.,   время 1643 c.
давление 7,247E-1 Па.,   время 1644 c.
давление 7,255E-1 Па.,   время 1645 c.
давление 7,264E-1 Па.,   время 1646 c.
давление 7,273E-1 Па.,   время 1647 c.
давление 7,281E-1 Па.,   время 1648 c.
давление 7,289E-1 Па.,   время 1649 c.
давление 7,298E-1 Па.,   время 1650 c.
давление 7,306E-1 Па.,   время 1651 c.
давление 7,314E-1 Па.,   время 1652 c.
давление 7,321E-1 Па.,   время 1653 c.
давление 7,329E-1 Па.,   время 1654 c.
давление 7,337E-1 Па.,   время 1655 c.
давление 7,344E-1 Па.,   время 1656 c.
давление 7,351E-1 Па.,   время 1657 c.
давление 7,358E-1 Па.,   время 1658 c.
давление 7,365E-1 Па.,   время 1659 c.
давление 7,372E-1 Па.,   время 1660 c.
давление 7,379E-1 Па.,   время 1661 c.
давление 7,386E-1 Па.,   время 1662 c.
давление 7,392E-1 Па.,   время 1663 c.
давление 7,399E-1 Па.,   время 1664 c.
давление 7,405E-1 Па.,   время 1665 c.
давление 7,411E-1 Па.,   время 1666 c.
давление 7,417E-1 Па.,   время 1667 c.
давление 7,423E-1 Па.,   время 1668 c.
давление 7,429E-1 Па.,   время 1669 c.
давление 7,435E-1 Па.,   время 1670 c.
давление 7,441E-1 Па.,   время 1671 c.
давление 7,446E-1 Па.,   время 1672 c.
давление 7,452E-1 Па.,   время 1673 c.
давление 7,457E-1 Па.,   время 1674 c.
давление 7,463E-1 Па.,   время 1675 c.
давление 7,468E-1 Па.,   время 1676 c.
давление 7,473E-1 Па.,   время 1677 c.
давление 7,478E-1 Па.,   время 1678 c.
давление 7,483E-1 Па.,   время 1679 c.
давление 7,488E-1 Па.,   время 1680 c.
давление 7,492E-1 Па.,   время 1681 c.
давление 7,497E-1 Па.,   время 1682 c.
давление 7,502E-1 Па.,   время 1683 c.
давление 7,506E-1 Па.,   время 1684 c.
давление 7,51E-1 Па.,   время 1685 c.
давление 7,515E-1 Па.,   время 1686 c.
давление 7,519E-1 Па.,   время 1687 c.
давление 7,523E-1 Па.,   время 1688 c.
давление 7,527E-1 Па.,   время 1689 c.
давление 7,531E-1 Па.,   время 1690 c.
давление 7,535E-1 Па.,   время 1691 c.
давление 7,539E-1 Па.,   время 1692 c.
давление 7,543E-1 Па.,   время 1693 c.
давление 7,546E-1 Па.,   время 1694 c.
давление 7,55E-1 Па.,   время 1695 c.
давление 7,553E-1 Па.,   время 1696 c.
давление 7,557E-1 Па.,   время 1697 c.
давление 7,56E-1 Па.,   время 1698 c.
давление 7,563E-1 Па.,   время 1699 c.
давление 7,567E-1 Па.,   время 1700 c.
давление 7,57E-1 Па.,   время 1701 c.
давление 7,573E-1 Па.,   время 1702 c.
давление 7,576E-1 Па.,   время 1703 c.
давление 7,579E-1 Па.,   время 1704 c.
давление 7,582E-1 Па.,   время 1705 c.
давление 7,584E-1 Па.,   время 1706 c.
давление 7,587E-1 Па.,   время 1707 c.
давление 7,59E-1 Па.,   время 1708 c.
давление 7,592E-1 Па.,   время 1709 c.
давление 7,595E-1 Па.,   время 1710 c.
давление 7,597E-1 Па.,   время 1711 c.
давление 7,6E-1 Па.,   время 1712 c.
давление 7,602E-1 Па.,   время 1713 c.
давление 7,605E-1 Па.,   время 1714 c.
давление 7,607E-1 Па.,   время 1715 c.
давление 7,609E-1 Па.,   время 1716 c.
давление 7,611E-1 Па.,   время 1717 c.
давление 7,613E-1 Па.,   время 1718 c.
давление 7,615E-1 Па.,   время 1719 c.
давление 7,617E-1 Па.,   время 1720 c.
давление 7,619E-1 Па.,   время 1721 c.
давление 7,621E-1 Па.,   время 1722 c.
давление 7,623E-1 Па.,   время 1723 c.
давление 7,625E-1 Па.,   время 1724 c.
давление 7,626E-1 Па.,   время 1725 c.
давление 7,628E-1 Па.,   время 1726 c.
давление 7,63E-1 Па.,   время 1727 c.
давление 7,631E-1 Па.,   время 1728 c.
давление 7,633E-1 Па.,   время 1729 c.
давление 7,634E-1 Па.,   время 1730 c.
давление 7,635E-1 Па.,   время 1731 c.
давление 7,637E-1 Па.,   время 1732 c.
давление 7,638E-1 Па.,   время 1733 c.
давление 7,639E-1 Па.,   время 1734 c.
давление 7,641E-1 Па.,   время 1735 c.
давление 7,642E-1 Па.,   время 1736 c.
давление 7,643E-1 Па.,   время 1737 c.
давление 7,644E-1 Па.,   время 1738 c.
давление 7,645E-1 Па.,   время 1739 c.
давление 7,646E-1 Па.,   время 1740 c.
давление 7,647E-1 Па.,   время 1741 c.
давление 7,648E-1 Па.,   время 1742 c.
давление 7,649E-1 Па.,   время 1743 c.
давление 7,65E-1 Па.,   время 1744 c.
давление 7,651E-1 Па.,   время 1745 c.
давление 7,651E-1 Па.,   время 1746 c.
давление 7,652E-1 Па.,   время 1747 c.
давление 7,653E-1 Па.,   время 1748 c.
давление 7,653E-1 Па.,   время 1749 c.
давление 7,654E-1 Па.,   время 1750 c.
давление 7,655E-1 Па.,   время 1751 c.
давление 7,655E-1 Па.,   время 1752 c.
давление 7,656E-1 Па.,   время 1753 c.
давление 7,656E-1 Па.,   время 1754 c.
давление 7,657E-1 Па.,   время 1755 c.
давление 7,657E-1 Па.,   время 1756 c.
давление 7,657E-1 Па.,   время 1757 c.
давление 7,658E-1 Па.,   время 1758 c.
давление 7,658E-1 Па.,   время 1759 c.
давление 7,658E-1 Па.,   время 1760 c.
давление 7,658E-1 Па.,   время 1761 c.
давление 7,659E-1 Па.,   время 1762 c.
давление 7,659E-1 Па.,   время 1763 c.
давление 7,659E-1 Па.,   время 1764 c.
давление 7,659E-1 Па.,   время 1765 c.
давление 7,659E-1 Па.,   время 1766 c.
давление 7,659E-1 Па.,   время 1767 c.
давление 7,659E-1 Па.,   время 1768 c.
давление 7,659E-1 Па.,   время 1769 c.
давление 7,659E-1 Па.,   время 1770 c.
давление 7,659E-1 Па.,   время 1771 c.
давление 7,659E-1 Па.,   время 1772 c.
давление 7,659E-1 Па.,   время 1773 c.
давление 7,659E-1 Па.,   время 1774 c.
давление 7,659E-1 Па.,   время 1775 c.
давление 7,658E-1 Па.,   время 1776 c.
давление 7,658E-1 Па.,   время 1777 c.
давление 7,658E-1 Па.,   время 1778 c.
давление 7,658E-1 Па.,   время 1779 c.
давление 7,657E-1 Па.,   время 1780 c.
давление 7,657E-1 Па.,   время 1781 c.
давление 7,657E-1 Па.,   время 1782 c.
давление 7,656E-1 Па.,   время 1783 c.
давление 7,656E-1 Па.,   время 1784 c.
давление 7,656E-1 Па.,   время 1785 c.
давление 7,655E-1 Па.,   время 1786 c.
давление 7,655E-1 Па.,   время 1787 c.
давление 7,654E-1 Па.,   время 1788 c.
давление 7,654E-1 Па.,   время 1789 c.
давление 7,653E-1 Па.,   время 1790 c.
давление 7,653E-1 Па.,   время 1791 c.
давление 7,652E-1 Па.,   время 1792 c.
давление 7,651E-1 Па.,   время 1793 c.
давление 7,651E-1 Па.,   время 1794 c.
давление 7,65E-1 Па.,   время 1795 c.
давление 7,65E-1 Па.,   время 1796 c.
давление 7,649E-1 Па.,   время 1797 c.
давление 7,648E-1 Па.,   время 1798 c.
давление 7,647E-1 Па.,   время 1799 c.
давление 7,647E-1 Па.,   время 1800 c.
давление 7,646E-1 Па.,   время 1801 c.
давление 7,645E-1 Па.,   время 1802 c.
давление 7,644E-1 Па.,   время 1803 c.
давление 7,644E-1 Па.,   время 1804 c.
давление 7,643E-1 Па.,   время 1805 c.
давление 7,642E-1 Па.,   время 1806 c.
давление 7,641E-1 Па.,   время 1807 c.
давление 7,64E-1 Па.,   время 1808 c.
давление 7,639E-1 Па.,   время 1809 c.
давление 7,638E-1 Па.,   время 1810 c.
давление 7,637E-1 Па.,   время 1811 c.
давление 7,636E-1 Па.,   время 1812 c.
давление 7,635E-1 Па.,   время 1813 c.
давление 7,634E-1 Па.,   время 1814 c.
давление 7,633E-1 Па.,   время 1815 c.
давление 7,632E-1 Па.,   время 1816 c.
давление 7,631E-1 Па.,   время 1817 c.
давление 7,63E-1 Па.,   время 1818 c.
давление 7,629E-1 Па.,   время 1819 c.
давление 7,628E-1 Па.,   время 1820 c.
давление 7,627E-1 Па.,   время 1821 c.
давление 7,626E-1 Па.,   время 1822 c.
давление 7,625E-1 Па.,   время 1823 c.
давление 7,624E-1 Па.,   время 1824 c.
давление 7,623E-1 Па.,   время 1825 c.
давление 7,621E-1 Па.,   время 1826 c.
давление 7,62E-1 Па.,   время 1827 c.
давление 7,619E-1 Па.,   время 1828 c.
давление 7,618E-1 Па.,   время 1829 c.
давление 7,617E-1 Па.,   время 1830 c.
давление 7,615E-1 Па.,   время 1831 c.
давление 7,614E-1 Па.,   время 1832 c.
давление 7,613E-1 Па.,   время 1833 c.
давление 7,612E-1 Па.,   время 1834 c.
давление 7,61E-1 Па.,   время 1835 c.
давление 7,609E-1 Па.,   время 1836 c.
давление 7,608E-1 Па.,   время 1837 c.
давление 7,607E-1 Па.,   время 1838 c.
давление 7,605E-1 Па.,   время 1839 c.
давление 7,604E-1 Па.,   время 1840 c.
давление 7,603E-1 Па.,   время 1841 c.
давление 7,601E-1 Па.,   время 1842 c.
давление 7,6E-1 Па.,   время 1843 c.
давление 7,598E-1 Па.,   время 1844 c.
давление 7,597E-1 Па.,   время 1845 c.
давление 7,596E-1 Па.,   время 1846 c.
давление 7,594E-1 Па.,   время 1847 c.
давление 7,593E-1 Па.,   время 1848 c.
давление 7,591E-1 Па.,   время 1849 c.
давление 7,59E-1 Па.,   время 1850 c.
давление 7,588E-1 Па.,   время 1851 c.
давление 7,587E-1 Па.,   время 1852 c.
давление 7,586E-1 Па.,   время 1853 c.
давление 7,584E-1 Па.,   время 1854 c.
давление 7,583E-1 Па.,   время 1855 c.
давление 7,581E-1 Па.,   время 1856 c.
давление 7,58E-1 Па.,   время 1857 c.
давление 7,578E-1 Па.,   время 1858 c.
давление 7,576E-1 Па.,   время 1859 c.
давление 7,575E-1 Па.,   время 1860 c.
давление 7,573E-1 Па.,   время 1861 c.
давление 7,572E-1 Па.,   время 1862 c.
давление 7,57E-1 Па.,   время 1863 c.
давление 7,569E-1 Па.,   время 1864 c.
давление 7,567E-1 Па.,   время 1865 c.
давление 7,565E-1 Па.,   время 1866 c.
давление 7,564E-1 Па.,   время 1867 c.
давление 7,562E-1 Па.,   время 1868 c.
давление 7,561E-1 Па.,   время 1869 c.
давление 7,559E-1 Па.,   время 1870 c.
давление 7,557E-1 Па.,   время 1871 c.
давление 7,556E-1 Па.,   время 1872 c.
давление 7,554E-1 Па.,   время 1873 c.
давление 7,552E-1 Па.,   время 1874 c.
давление 7,551E-1 Па.,   время 1875 c.
давление 7,549E-1 Па.,   время 1876 c.
давление 7,547E-1 Па.,   время 1877 c.
давление 7,546E-1 Па.,   время 1878 c.
давление 7,544E-1 Па.,   время 1879 c.
давление 7,542E-1 Па.,   время 1880 c.
давление 7,541E-1 Па.,   время 1881 c.
давление 7,539E-1 Па.,   время 1882 c.
давление 7,537E-1 Па.,   время 1883 c.
давление 7,536E-1 Па.,   время 1884 c.
давление 7,534E-1 Па.,   время 1885 c.
давление 7,532E-1 Па.,   время 1886 c.
давление 7,53E-1 Па.,   время 1887 c.
давление 7,529E-1 Па.,   время 1888 c.
давление 7,527E-1 Па.,   время 1889 c.
давление 7,525E-1 Па.,   время 1890 c.
давление 7,523E-1 Па.,   время 1891 c.
давление 7,522E-1 Па.,   время 1892 c.
давление 7,52E-1 Па.,   время 1893 c.
давление 7,518E-1 Па.,   время 1894 c.
давление 7,516E-1 Па.,   время 1895 c.
давление 7,514E-1 Па.,   время 1896 c.
давление 7,513E-1 Па.,   время 1897 c.
давление 7,511E-1 Па.,   время 1898 c.
давление 7,509E-1 Па.,   время 1899 c.
давление 7,507E-1 Па.,   время 1900 c.
давление 7,505E-1 Па.,   время 1901 c.
давление 7,503E-1 Па.,   время 1902 c.
давление 7,502E-1 Па.,   время 1903 c.
давление 7,5E-1 Па.,   время 1904 c.
давление 7,498E-1 Па.,   время 1905 c.
давление 7,496E-1 Па.,   время 1906 c.
давление 7,494E-1 Па.,   время 1907 c.
давление 7,492E-1 Па.,   время 1908 c.
давление 7,49E-1 Па.,   время 1909 c.
давление 7,489E-1 Па.,   время 1910 c.
давление 7,487E-1 Па.,   время 1911 c.
давление 7,485E-1 Па.,   время 1912 c.
давление 7,483E-1 Па.,   время 1913 c.
давление 7,481E-1 Па.,   время 1914 c.
давление 7,479E-1 Па.,   время 1915 c.
давление 7,477E-1 Па.,   время 1916 c.
давление 7,475E-1 Па.,   время 1917 c.
давление 7,473E-1 Па.,   время 1918 c.
давление 7,472E-1 Па.,   время 1919 c.
давление 7,47E-1 Па.,   время 1920 c.
давление 7,468E-1 Па.,   время 1921 c.
давление 7,466E-1 Па.,   время 1922 c.
давление 7,464E-1 Па.,   время 1923 c.
давление 7,462E-1 Па.,   время 1924 c.
давление 7,46E-1 Па.,   время 1925 c.
давление 7,458E-1 Па.,   время 1926 c.
давление 7,456E-1 Па.,   время 1927 c.
давление 7,454E-1 Па.,   время 1928 c.
давление 7,452E-1 Па.,   время 1929 c.
давление 7,45E-1 Па.,   время 1930 c.
давление 7,448E-1 Па.,   время 1931 c.
давление 7,446E-1 Па.,   время 1932 c.
давление 7,444E-1 Па.,   время 1933 c.
давление 7,442E-1 Па.,   время 1934 c.
давление 7,44E-1 Па.,   время 1935 c.
давление 7,438E-1 Па.,   время 1936 c.
давление 7,436E-1 Па.,   время 1937 c.
давление 7,434E-1 Па.,   время 1938 c.
давление 7,432E-1 Па.,   время 1939 c.
давление 7,43E-1 Па.,   время 1940 c.
давление 7,428E-1 Па.,   время 1941 c.
давление 7,426E-1 Па.,   время 1942 c.
давление 7,424E-1 Па.,   время 1943 c.
давление 7,422E-1 Па.,   время 1944 c.
давление 7,42E-1 Па.,   время 1945 c.
давление 7,418E-1 Па.,   время 1946 c.
давление 7,416E-1 Па.,   время 1947 c.
давление 7,414E-1 Па.,   время 1948 c.
давление 7,412E-1 Па.,   время 1949 c.
давление 7,41E-1 Па.,   время 1950 c.
давление 7,408E-1 Па.,   время 1951 c.
давление 7,406E-1 Па.,   время 1952 c.
давление 7,404E-1 Па.,   время 1953 c.
давление 7,402E-1 Па.,   время 1954 c.
давление 7,4E-1 Па.,   время 1955 c.
давление 7,398E-1 Па.,   время 1956 c.
давление 7,396E-1 Па.,   время 1957 c.
давление 7,394E-1 Па.,   время 1958 c.
давление 7,392E-1 Па.,   время 1959 c.
давление 7,39E-1 Па.,   время 1960 c.
давление 7,388E-1 Па.,   время 1961 c.
давление 7,386E-1 Па.,   время 1962 c.
давление 7,384E-1 Па.,   время 1963 c.
давление 7,382E-1 Па.,   время 1964 c.
давление 7,38E-1 Па.,   время 1965 c.
давление 7,378E-1 Па.,   время 1966 c.
давление 7,376E-1 Па.,   время 1967 c.
давление 7,373E-1 Па.,   время 1968 c.
давление 7,371E-1 Па.,   время 1969 c.
давление 7,369E-1 Па.,   время 1970 c.
давление 7,367E-1 Па.,   время 1971 c.
давление 7,365E-1 Па.,   время 1972 c.
давление 7,363E-1 Па.,   время 1973 c.
давление 7,361E-1 Па.,   время 1974 c.
давление 7,359E-1 Па.,   время 1975 c.
давление 7,357E-1 Па.,   время 1976 c.
давление 7,355E-1 Па.,   время 1977 c.
давление 7,353E-1 Па.,   время 1978 c.
давление 7,35E-1 Па.,   время 1979 c.
давление 7,348E-1 Па.,   время 1980 c.
давление 7,346E-1 Па.,   время 1981 c.
давление 7,344E-1 Па.,   время 1982 c.
давление 7,342E-1 Па.,   время 1983 c.
давление 7,34E-1 Па.,   время 1984 c.
давление 7,338E-1 Па.,   время 1985 c.
давление 7,336E-1 Па.,   время 1986 c.
давление 7,334E-1 Па.,   время 1987 c.
давление 7,331E-1 Па.,   время 1988 c.
давление 7,329E-1 Па.,   время 1989 c.
давление 7,327E-1 Па.,   время 1990 c.
давление 7,325E-1 Па.,   время 1991 c.
давление 7,323E-1 Па.,   время 1992 c.
давление 7,321E-1 Па.,   время 1993 c.
давление 7,319E-1 Па.,   время 1994 c.
давление 7,317E-1 Па.,   время 1995 c.
давление 7,314E-1 Па.,   время 1996 c.
давление 7,312E-1 Па.,   время 1997 c.
давление 7,31E-1 Па.,   время 1998 c.
давление 7,308E-1 Па.,   время 1999 c.
давление 7,306E-1 Па.,   время 2000 c.
давление 7,304E-1 Па.,   время 2001 c.
давление 7,302E-1 Па.,   время 2002 c.
давление 7,299E-1 Па.,   время 2003 c.
давление 7,297E-1 Па.,   время 2004 c.
давление 7,295E-1 Па.,   время 2005 c.
давление 7,293E-1 Па.,   время 2006 c.
давление 7,291E-1 Па.,   время 2007 c.
давление 7,289E-1 Па.,   время 2008 c.
давление 7,287E-1 Па.,   время 2009 c.
давление 7,284E-1 Па.,   время 2010 c.
давление 7,282E-1 Па.,   время 2011 c.
давление 7,28E-1 Па.,   время 2012 c.
давление 7,278E-1 Па.,   время 2013 c.
давление 7,276E-1 Па.,   время 2014 c.
давление 7,274E-1 Па.,   время 2015 c.
давление 7,271E-1 Па.,   время 2016 c.
давление 7,269E-1 Па.,   время 2017 c.
давление 7,267E-1 Па.,   время 2018 c.
давление 7,265E-1 Па.,   время 2019 c.
давление 7,263E-1 Па.,   время 2020 c.
давление 7,261E-1 Па.,   время 2021 c.
давление 7,258E-1 Па.,   время 2022 c.
давление 7,256E-1 Па.,   время 2023 c.
давление 7,254E-1 Па.,   время 2024 c.
давление 7,252E-1 Па.,   время 2025 c.
давление 7,25E-1 Па.,   время 2026 c.
давление 7,248E-1 Па.,   время 2027 c.
давление 7,245E-1 Па.,   время 2028 c.
давление 7,243E-1 Па.,   время 2029 c.
давление 7,241E-1 Па.,   время 2030 c.
давление 7,239E-1 Па.,   время 2031 c.
давление 7,237E-1 Па.,   время 2032 c.
давление 7,234E-1 Па.,   время 2033 c.
давление 7,232E-1 Па.,   время 2034 c.
давление 7,23E-1 Па.,   время 2035 c.
давление 7,228E-1 Па.,   время 2036 c.
давление 7,226E-1 Па.,   время 2037 c.
давление 7,223E-1 Па.,   время 2038 c.
давление 7,221E-1 Па.,   время 2039 c.
давление 7,219E-1 Па.,   время 2040 c.
давление 7,217E-1 Па.,   время 2041 c.
давление 7,215E-1 Па.,   время 2042 c.
давление 7,212E-1 Па.,   время 2043 c.
давление 7,21E-1 Па.,   время 2044 c.
давление 7,208E-1 Па.,   время 2045 c.
давление 7,206E-1 Па.,   время 2046 c.
давление 7,204E-1 Па.,   время 2047 c.
давление 7,201E-1 Па.,   время 2048 c.
давление 7,199E-1 Па.,   время 2049 c.
давление 7,197E-1 Па.,   время 2050 c.
давление 7,195E-1 Па.,   время 2051 c.
давление 7,193E-1 Па.,   время 2052 c.
давление 7,19E-1 Па.,   время 2053 c.
давление 7,188E-1 Па.,   время 2054 c.
давление 7,186E-1 Па.,   время 2055 c.
давление 7,184E-1 Па.,   время 2056 c.
давление 7,181E-1 Па.,   время 2057 c.
давление 7,179E-1 Па.,   время 2058 c.
давление 7,177E-1 Па.,   время 2059 c.
давление 7,175E-1 Па.,   время 2060 c.
давление 7,173E-1 Па.,   время 2061 c.
давление 7,17E-1 Па.,   время 2062 c.
давление 7,168E-1 Па.,   время 2063 c.
давление 7,166E-1 Па.,   время 2064 c.
давление 7,164E-1 Па.,   время 2065 c.
давление 7,161E-1 Па.,   время 2066 c.
давление 7,159E-1 Па.,   время 2067 c.
давление 7,157E-1 Па.,   время 2068 c.
давление 7,155E-1 Па.,   время 2069 c.
давление 7,153E-1 Па.,   время 2070 c.
давление 7,15E-1 Па.,   время 2071 c.
давление 7,148E-1 Па.,   время 2072 c.
давление 7,146E-1 Па.,   время 2073 c.
давление 7,144E-1 Па.,   время 2074 c.
давление 7,141E-1 Па.,   время 2075 c.
давление 7,139E-1 Па.,   время 2076 c.
давление 7,137E-1 Па.,   время 2077 c.
